100,57
200,186
300,393
400,676
500,1037
600,1473
700,1985
800,2590
900,3264
1000,3981
200,196
400,728
600,1463
800,2519
1000,3850
1200,5457
1400,7370
1600,9566
1800,12009
2000,14740
300,422
600,1479
900,3148
1200,5496
1500,8383
1800,12082
2100,16364
2400,21014
2700,26817
3000,32555
400,731
800,2603
1200,5489
1600,9594
2000,14526
2400,21085
2800,28642
3200,37254
3600,46767
4000,57951
500,1130
1000,3947
1500,8506
2000,14759
2500,23018
3000,32542
3500,43641
4000,57114
4500,73195
5000,90649
600,1616
1200,5724
1800,12261
2400,27577
3000,33097
3600,47438
4200,65115
4800,84649
5400,106479
6000,130922
700,2165
1400,7785
2100,16891
2800,29499
3500,45397
4200,65560
4900,97449
5600,120966
6300,143963
7000,178836
800,2680
1600,9683
2400,21402
3200,38590
4000,59143
4800,89801
5600,112990
6400,147396
7200,188128
8000,238897
900,3618
1800,12833
2700,27492
3600,47376
4500,72463
5400,105136
6300,145888
7200,187397
8100,236117
9000,288846
1000,4408
2000,15824
3000,33948
4000,58419
5000,90938
6000,128826
7000,173880
8000,224402
9000,283904
10000,350278
